icao24,callsign,origin_country,time_position,longitude,latitude,baro_altitude,on_ground,velocity
4bb86e,PGT8NJ,Turkey,1789370432,16.5626,48.1154,,True,6.94
4bb86b,PGT907H,Turkey,1789370434,15.9948,47.0717,10363.2,False,231.92
4bb86c,,Turkey,1789370266,32.017,40.3653,10668,False,261.22
8850ae,THA671,Thailand,1789370432,123.0402,25.6253,12192,False,245.81
885113,THA476,Thailand,1789370346,113.3274,5.9984,11582.4,False,262.83
885102,THA416,Thailand,1789370433,100.773,13.7372,312.42,False,75.99
88510c,THA475,Thailand,1789370433,128.5572,-19.2681,11887.2,False,270.41
88510b,THA936,Thailand,1789370434,38.7274,41.094,12192,False,232.14
885115,THA614,Thailand,1789370400,116.5702,39.3915,2987.04,False,147.11
88517a,THA917,Thailand,1789370434,93.0325,19.6835,11887.2,False,249.93
885156,THA633,Thailand,1789370430,118.1599,22.2847,11582.4,False,243.83
885177,THA922,Thailand,1789370435,90.3068,21.4976,10363.2,False,262.39
885172,THA916,Thailand,1789370316,95.9276,19.6709,9753.6,False,12.87
88044d,AIQ511,Thailand,1789370285,103.6671,1.637,,True,0
880453,AIQ3425,Thailand,1789370422,99.0142,18.0187,4678.68,False,176.24
880452,AIQ3395,Thailand,1789370433,100.8502,14.4401,3124.2,False,153.59
880455,AIQ3146,Thailand,1789370434,99.7612,11.8968,7078.98,False,209.89
880450,AIQ3240,Thailand,1789370434,100.6798,14.0465,807.72,False,90.49
880443,AIQ641,Thailand,1789370434,100.62,14.3477,2308.86,False,135.14
738be7,MAHATZ,Israel,1789370434,34.8535,31.8012,906.78,False,49.09
4baac6,THY4UF,Turkey,1789370435,20.5629,45.9665,11887.2,False,245.77
4baad5,THY1LP,Turkey,1789370433,28.3697,41.9053,4244.34,False,170.94
4baad2,THY5HQ,Turkey,1789370434,22.8073,43.5427,11277.6,False,249.17
4baad0,THY4TU,Turkey,1789370312,6.2189,49.6337,,True,1.54
4baaca,THY511,Turkey,1789370434,30.8076,36.5393,11582.4,False,240.34
4baacb,THY7BM,Turkey,1789370435,32.0445,36.4137,2743.2,False,146.64
4baacf,THY1DM,Turkey,1789370435,28.9424,41.1861,3474.72,False,166.07
4bab2e,THY8CX,Turkey,1789370434,1.5949,39.6144,9037.32,False,240.81
4bab2c,THY5SY,Turkey,1789370433,21.3695,43.5638,10058.4,False,248.94
4bab53,TKJ1VA,Turkey,1789369689,35.8606,38.0883,10363.2,False,230.75
4baac3,THY1950,Turkey,1789370429,21.5286,45.4048,11887.2,False,241.22
88084f,AIQ496,Thailand,1789370434,114.189,22.6246,11308.08,False,241.06
880856,AIQ654,Thailand,1789370435,102.9354,12.5851,10066.02,False,228.02
880846,AIQ661,Thailand,1789370433,101.6897,12.852,10599.42,False,228.14
880848,AIQ3402,Thailand,1789370434,99.7863,12.6577,9044.94,False,238.74
880843,AIQ158,Thailand,1789370434,99.6605,16.2738,11582.4,False,227.47
88085a,AIQ3434,Thailand,1789370389,98.9651,18.7585,,True,4.63
4bab21,THY1AT,Turkey,1789364640,25.0116,59.8434,11277.6,False,0.77
4bab29,THY9FD,Turkey,1789370189,28.7568,41.2564,76.2,False,71.51
4bab25,THY639,Turkey,1789370433,13.6988,33.6053,5478.78,False,181.21
4bab24,THY1448,Turkey,1789370435,4.8428,40.9712,10972.8,False,217.53
4bab30,THY52U,Turkey,1789370434,8.8599,47.3564,6096,False,175.49
4bab2a,THY3AY,Turkey,1789366069,23.6049,46.8717,22.86,False,250.74
4baa44,THY1EM,Turkey,1789370434,22.571,51.1342,10363.2,False,225.14
4baa46,THY2AL,Turkey,1789370434,25.0627,56.0726,10660.38,False,231.94
4baa55,THY380,Turkey,1789370433,44.2605,41.9133,4892.04,False,196.75
4baa53,THY661,Turkey,1789370435,13.5922,37.1769,10355.58,False,217.04
